Name,Price,Rate,Rating_count,Details,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Yves Saint Laurent Libre,389 ,5,3 ,"['Yves Saint Laurent', 'Women', 'Perfume', 'Romantic', 'Floral', '90 ml', '2019', 'Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris', 'Eau de Parfum', 'Mandarin Orange, Lavendar, Black Currant, Petitgrain', 'Jasmine, Orange Blossom', 'Vanilla, Cedar, Musk, Ambergris']",Yves Saint Laurent,Women,Perfume,Romantic,Floral,90_ml,2019,"Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris",Eau de Parfum,"Mandarin Orange, Lavendar, Black Currant, Petitgrain","Jasmine, Orange Blossom","Vanilla, Cedar, Musk, Ambergris"
Burberry My Burberry EDP,229 ,No-Rate,0,"['Burberry', 'Women', 'Perfume', 'Feminine', 'Floral', '50 ml', '2014', 'Sweet Pea, Bergamot, Mandarin , Grapefruit, Lemon, Passionfruit, Peach , Gardenia, Patchouli, Rose', 'Eau de Parfum', 'sweet pea, lime, and citrus', 'geranium, freesia, quince, passionfruit', 'Patchouli, Damask rose, Centifolia rose']",Burberry,Women,Perfume,Feminine,Floral,50_ml,2014,"Sweet Pea, Bergamot, Mandarin , Grapefruit, Lemon, Passionfruit, Peach , Gardenia, Patchouli, Rose",Eau de Parfum,"sweet pea, lime, and citrus","geranium, freesia, quince, passionfruit","Patchouli, Damask rose, Centifolia rose"
Viktor & Rolf Flower Bomb,499 ,5,2 ,"['Viktor & Rolf', 'Women', 'Perfume', 'Feminine', 'Floral Oriental', '50 ml', '2005', 'bergamot, tea, ottamentos, jasmine, african orange flower, freesia, rose, orchid, musk and patchouli', 'Eau de Parfum', 'bergamot, tea and ottamentos', 'jasmine, african orange flower, freesia, rose and orchid', 'musk and patchouli']",Viktor & Rolf,Women,Perfume,Feminine,FloralOriental,50_ml,2005,"bergamot, tea, ottamentos, jasmine, african orange flower, freesia, rose, orchid, musk and patchouli",Eau de Parfum,"bergamot, tea and ottamentos","jasmine, african orange flower, freesia, rose and orchid",musk and patchouli
Calvin Klein Eternity Moment,149 ,No-Rate,0,"['Calvin Klein', 'Women', 'Perfume', 'Extravagant', 'Fruity', '100 ml', '2004', 'Melon, Raspberry,Guava,lachi, Peony, Jasmine, water lily, passin flower, kashmere, Sandalwood, Musk, roseWood', 'Eau de Parfum', 'Melon, Raspberry,Guava,lachi', 'Peony, Jasmine, water lily, passin flower', 'kashmere, Sandalwood, Musk, rose Wood']",Calvin Klein,Women,Perfume,Extravagant,Fruity,100_ml,2004,"Melon, Raspberry,Guava,lachi, Peony, Jasmine, water lily, passin flower, kashmere, Sandalwood, Musk, roseWood",Eau de Parfum,"Melon, Raspberry,Guava,lachi","Peony, Jasmine, water lily, passin flower","kashmere, Sandalwood, Musk, rose Wood"
Mancera Roses Vanille,359 ,4.93,18 ,"['Mancera', 'Unisex', 'Perfume', 'Feminine', 'Floral', '120 ml', 'Fresh Lemon of Calabria, Turkish delight with Rose, Cedarwood, Intense Vanilla & White Musk', 'Eau de Parfum', 'Fresh Lemon of Calabria', 'Turkish delight, Rose', 'Cedarwood, Intense Vanilla & White Musk']",Mancera,Unisex,Perfume,Feminine,Floral,120_ml,,"Fresh Lemon of Calabria, Turkish delight with Rose, Cedarwood, Intense Vanilla & White Musk",Eau de Parfum,Fresh Lemon of Calabria,"Turkish delight, Rose","Cedarwood, Intense Vanilla & White Musk"
Candy Addict Musky Musk Body Mist - 250 ml,69 ,5,1 ,"['Candy Addict', 'Unisex', 'Body Mist', 'Charismatic', '250 ml', 'Bergamot, Rose, Musk', 'Bergamot', 'Rose', 'Musk']",Candy Addict,Unisex,Body Mist,Charismatic,Floral,250_ml,,"Bergamot, Rose, Musk",,Bergamot,Musk,Rose
Lanc̫me La Vie Est Belle,389 ,5,6 ,"['Lancome', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2012', 'Black Currant, pear, iris, jasmine sambac, orange blossom, tonka bean, praline, patchouli, vanilla', 'Eau de Parfum', 'Black Currant, pear', 'iris, jasmine sambac, orange blossom', 'tonka bean, praline, patchouli, vanilla']",Lancome,Women,Perfume,Romantic,Floral,50_ml,2012,"Black Currant, pear, iris, jasmine sambac, orange blossom, tonka bean, praline, patchouli, vanilla",Eau de Parfum,"Black Currant, pear","iris, jasmine sambac, orange blossom","tonka bean, praline, patchouli, vanilla"
Dior Miss Dior Blooming Bouquet,407 ,No-Rate,0,"['Dior', 'Women', 'Perfume', 'Natural', 'Oriental', '100 ml', '2002', 'Sicilian mandarin,Apricot peel, Peony, Peach, Rose,White musk', 'Eau de Toilette', 'Sicilian mandarin', 'Apricot peel, Peony, Peach, Rose', 'White musk']",Dior,Women,Perfume,Natural,Oriental,100_ml,2002,"Sicilian mandarin,Apricot peel, Peony, Peach, Rose,White musk",Eau de Toilette,Sicilian mandarin,"Apricot peel, Peony, Peach, Rose",White musk
Montale Vanilla Extasy,478 ,No-Rate,0,"['Montale', 'Women', 'Perfume', 'Charismatic', 'Oriental', '100 ml', '2008', 'Apricot, Apricot Blossom, Jasmine, Ylang Ylang, Amber, Benzoin, Vanilla, Mahogany, Sandalwood', 'Eau de Parfum', 'Apricot, Apricot Blossom', 'Ylang Ylang, Vanilla, Jasmine', 'Sandalwood, Mahogany, Benzoin, Resins']",Montale,Women,Perfume,Charismatic,Oriental,100_ml,2008,"Apricot, Apricot Blossom, Jasmine, Ylang Ylang, Amber, Benzoin, Vanilla, Mahogany, Sandalwood",Eau de Parfum,"Apricot, Apricot Blossom","Ylang Ylang, Vanilla, Jasmine","Sandalwood, Mahogany, Benzoin, Resins"
Valentino Donna Hair Mist,363 ,4.5,2 ,"['Valentino', 'Women', 'Hair Mist', 'Classical', 'Woody', '2014', 'Bergamot ,Bulgarian Rose, Iris,Patchouli, Leather, Vanilla', 'Bergamot', 'Bulgarian Rose, Iris', 'Patchouli, Leather, Vanilla']",Valentino,Women,Hair Mist,Classical,Woody,100_ml,2014,"Bergamot ,Bulgarian Rose, Iris,Patchouli, Leather, Vanilla",,Bergamot,"Bulgarian Rose, Iris","Patchouli, Leather, Vanilla"
